,y_pop,x1_gdp,x2_urban,x3_energy,x4_health,x5_income
count,70.0,70.0,70.0,70.0,70.0,70.0
mean,75582110.257,1348179068944.706,71.737,5886.532,7.876,30128.143
std,240787509.078,3922638744684.806,16.003,6716.78,2.573,26357.51
min,385663.0,3472693412.085,31.633,0.0,2.702,1630.0
25%,4171145.75,70048565825.848,61.002,2838.546,5.974,8392.5
50%,10471991.5,315270018280.194,70.485,4584.462,7.975,20875.0
75%,50872596.25,873931414582.94,83.707,6417.568,9.712,48972.5
max,1438069596.0,27292170793214.4,100.0,50951.219,16.694,101640.0
