country_name,country_code,y_pop,x1_gdp,x2_urban,x3_energy,x4_health,x5_income
Albania,ALB,2414095,23491242727.4082,58.2106086137857,2888.86725667383,7.05240345,8730
Algeria,DZA,46164219,247923887214.655,74.732808364138,1827.95251014644,4.35082531,4950
Argentina,ARG,45538401,649461687959.174,92.1945132257907,2821.77233232234,10.2695179,12920
Australia,AUS,26659922,1734451264655.6,87.4866955653765,9819.87119092096,10.39852047,63320
Austria,AUT,9131761,516670509628.876,69.2265358276021,7806.05186666624,11.15297318,55890
Azerbaijan,AZE,10153958,72428470588.2353,58.5075350483702,2366.9587760753,4.27113533,6680
Bahrain,BHR,1577059,46192260638.2979,100.0,0.0,3.99562383,28460
Belgium,BEL,11779946,651330595110.011,87.551492636772,6931.69561218702,10.80371571,55520
Bosnia and Herzegovina,BIH,3185073,27592361498.4057,51.5657239834305,3676.52483946208,8.9216938,8280
Brazil,BRA,211140729,2191131869706.02,87.6159710235763,2916.48609397384,9.73092747,9310
Bulgaria,BGR,6446596,102199231384.542,73.7322671584613,5360.50343468088,7.91853094,14240
Canada,CAN,40083484,2173339670064.33,82.5250564408346,14459.8957515769,11.18692875,54660
Chile,CHL,19658835,335518054097.637,88.8158617217972,4322.99269005513,10.17470455,15950
China,CHN,1410710000,18270356654533.2,65.5301448035523,6523.71926193193,5.94388866,13750
Colombia,COL,52321152,366291836137.916,78.275571579544,1552.83278166352,8.15838146,6720
Costa Rica,CRI,5105525,86497941439.0174,78.8819393641702,2206.04149426357,6.8663702,14260
Croatia,HRV,3859686,85624153964.0987,57.2431560672198,4484.04352063873,7.14699411,20750
Cyprus,CYP,1344976,35075423857.0996,66.6739477522639,3841.70423858864,8.11912918,32340
Czechia,CZE,10864042,345059295659.911,72.7352388396817,5965.3672178366,8.42677402,28540
Denmark,DNK,5946952,404651706117.557,88.552638542867,5878.13723736126,9.5572958,72080
"Egypt, Arab Rep.",EGY,114535772,395926075163.006,42.7098115041919,1492.89603600873,4.88449335,3840
Estonia,EST,1370286,41470344395.1086,70.6770085523126,5722.16311047475,7.47082138,27650
Finland,FIN,5583911,295021982462.75,74.0062548602828,14391.3468534867,10.47389507,52990
France,FRA,68372286,3056250648138.29,78.7804323126547,6415.02611160317,11.51974583,45770
Georgia,GEO,3715483,30777833600.6515,60.7523077799724,3382.3327949556,6.85758877,6710
Germany,DEU,83287273,4562207532490.28,81.9034366692129,5947.27119952649,11.74428654,55420
Greece,GRC,10407351,242946187738.269,78.7746303842088,4693.50942425215,8.39367008,22300
Honduras,HND,10644851,34355805527.9795,58.3132392705102,752.100710474952,7.70976162,2880
Hungary,HUN,9592186,213240316634.648,70.2923026891431,4604.58127063007,6.36868954,19840
Iceland,ISL,385663,31677891896.7861,94.1518261784801,50951.2190694985,8.70510101,82630
India,IND,1438069596,3638489096033.86,35.0676918424186,1181.63057248865,3.33944035,2580
Indonesia,IDN,281190067,1371169301563.62,58.1179353397878,1445.21463483986,2.70239949,4810
Ireland,IRL,5311538,567372737459.116,64.1152082461268,6144.73623270699,6.57538509,79280
Israel,ISR,9849000,512184638998.974,91.5089569794505,6772.05807696213,7.09822369,54280
Italy,ITA,58984216,2316727999333.18,69.5381540123301,5047.46897034285,8.40559483,38770
Japan,JPN,124516650,4213167237905.83,92.0826903891473,7655.01641748312,10.73979473,39360
Kazakhstan,KAZ,20330104,261840101059.923,61.7560919499181,5145.57131631004,3.76701546,10690
Kenya,KEN,55339003,107500884685.013,31.6330340816429,190.082933008388,4.35172892,2110
"Korea, Rep.",KOR,51712619,1844800934391.54,81.1645551720421,11426.0699114852,8.5650692,38020
Latvia,LVA,1883710,42779550936.838,68.3586316343061,3616.79876414098,7.27783823,21000
Lithuania,LTU,2871585,79789877416.1681,68.575454583199,4202.90536411076,7.31801939,25460
Luxembourg,LUX,666430,88788881539.3937,94.8015300320787,11428.0569602209,5.78777981,88480
Malta,MLT,552747,22610561526.1461,95.6272277147965,5042.08978067724,8.84301376,35720
Mauritius,MUS,1248647,14072212290.4596,39.0039901092226,2465.06818980865,5.56544495,12570
Mexico,MEX,129739759,1798317581486.88,79.4734935748046,2608.52187955737,5.50398684,12020
Moldova,MDA,2457783,16711906746.2133,43.0011825561523,2411.52290499202,6.7359705,6250
Montenegro,MNE,623529,7644389159.84471,65.4731667624849,4564.34263683004,9.6549921,11550
Morocco,MAR,37712505,146036093666.762,62.673750838878,997.255419654568,6.06396198,3780
Netherlands,NLD,17877117,1135475867551.0,95.3221682092129,6189.0851863866,9.83150005,62550
New Zealand,NZL,5200000,255194972673.122,83.8898991461229,8021.15384615385,10.12947655,49020
North Macedonia,MKD,1827816,15855131188.9092,62.2518322545779,3320.35609711262,7.42730284,7940
Norway,NOR,5519601,482949731776.587,83.0718560702166,23520.1783607185,9.42925453,101640
Paraguay,PRY,6844146,43118053174.5461,69.3466081733694,2388.61064623694,8.35731316,6210
Poland,POL,36687353,812451193396.143,59.8859561370214,4381.86423534017,7.13848782,19890
Portugal,PRT,10578174,292323800948.839,61.2048652633664,5146.25681143078,10.02761173,26340
Romania,ROU,19061062,347757995758.914,52.1645747011867,2585.27043246593,5.70901489,16590
Senegal,SEN,18077573,30696331295.7826,54.6992276190794,410.176742198745,4.32314825,1630
Serbia,SRB,6623183,81343999280.0179,62.1434649229738,5089.5468236345,8.03133774,10750
Singapore,SGP,5917648,505439514078.019,100.0,9750.49546711802,4.49163246,69850
Slovak Republic,SVK,5426740,133578518423.544,53.190805019646,4673.89261324478,7.35262203,22710
Slovenia,SVN,2120461,69255264238.3855,55.5378927789875,6418.41561811323,9.30008888,31020
South Africa,ZAF,63212384,381440724491.232,63.5823705163545,3247.14853342661,8.90966797,6490
Spain,ESP,48352528,1619481980719.64,80.128491001856,5117.82961999422,9.2206583,32980
Suriname,SUR,628886,3472693412.08497,65.7562408447266,2897.18645350668,5.40666008,5210
Sweden,SWE,10536632,578990915246.07,88.631216160938,12149.5179863926,11.152915,60300
Switzerland,CHE,8888822,894424821645.205,85.1854212679815,7096.32839987121,11.69096088,95740
Thailand,THA,71702435,515906283940.933,60.9341926574707,2965.2131060821,4.53787661,7190
Turkiye,TUR,85325965,1141242864657.45,89.0218446796121,3581.25454543643,4.27524424,11980
United Kingdom,GBR,68492000,3420796653789.08,83.1601932891335,4207.95129358173,10.99128914,48830
United States,USA,336806231,27292170793214.4,80.071561119178,12551.2256333524,16.69414902,80000
